Type ouvrage;Code ligne 1;Nom ligne 1;Propriétaire ligne 1;Etat;TENSION;Source donnée;Geo Shape;Nombre circuit;Code ligne 2;Nom ligne 2;Propriétaire ligne 2;Code ligne 3;Nom ligne 3;Propriétaire ligne 3;Code ligne 4;Nom ligne 4;Propriétaire ligne 4;Code ligne 5;Nom ligne 5;Proprietaire ligne 5;geo_point_2d
AERIEN;ROLAML61ZRIGO;LIAISON 225kV N0 1 PUSY - RIGOTTE (LA) - ROLAMPONT;MAINTENU PAR ET PROPRIETE RTE;EN EXPLOITATION;225kV;RTE;"{""coordinates"": [[5.7085749089, 47.7587819641], [5.7052874722, 47.7597415148], [5.7020076415, 47.7606943545], [5.698757684, 47.7616357054], [5.6953049994, 47.7626365488], [5.6918384105, 47.7636537986], [5.6885975102, 47.7645936958], [5.6854608366, 47.7655113296], [5.6821507922, 47.766463379], [5.6788886524, 47.7674125155], [5.6757950979, 47.7683181097], [5.6726081466, 47.7692518574], [5.6694206248, 47.7701782383], [5.6662386861, 47.7710846561], [5.6629626419, 47.7720336368], [5.6595318128, 47.7730436453], [5.6571071307, 47.773739896], [5.6540862737, 47.774640569], [5.6512171272, 47.7755088506], [5.6485998803, 47.7763109406], [5.6455207428, 47.7772279806], [5.642128742, 47.7782519257], [5.6387997672, 47.77925634], [5.6354268589, 47.7802670284], [5.6321643654, 47.7812427192], [5.6287007417, 47.7822868256], [5.6253284113, 47.7832890925], [5.6219103506, 47.7843139691], [5.6187940086, 47.7852526569], [5.6154170236, 47.7862502552], [5.6119152251, 47.7872919455], [5.6084198118, 47.7883288459], [5.6051605985, 47.7892821439], [5.601983399, 47.7902199088], [5.5985341194, 47.7912528703], [5.5954797474, 47.7921652348], [5.5920068877, 47.793185876], [5.5889724712, 47.7941003861], [5.5855812862, 47.7951018974], [5.5823611685, 47.7960500276], [5.5787593152, 47.7971208345], [5.5754268847, 47.7981017722], [5.5720868295, 47.7990910135], [5.5687504628, 47.8000791534], [5.5653439468, 47.8010821888], [5.562088343, 47.8020556527], [5.5587914924, 47.8030381731], [5.5553710915, 47.8040384988], [5.5519787162, 47.8050381272], [5.548601084, 47.8060427381], [5.5452653424, 47.8070328625], [5.5420077392, 47.8075348708], [5.5383839323, 47.8080934664], [5.5347504843, 47.8086484306], [5.5311727061, 47.8091949145], [5.5276075158, 47.8097518325], [5.5242419869, 47.8102683492], [5.5207572126, 47.8108071046], [5.5173357703, 47.8113290854], [5.5136904959, 47.8118963054], [5.5099678742, 47.8124694738], [5.5063658363, 47.8130202526], [5.5029338364, 47.8135509998], [5.4992603639, 47.8141229359], [5.4959354334, 47.8146322997], [5.4921910713, 47.81520359], [5.488525053, 47.8157677789], [5.4854723187, 47.8170121246], [5.4826595731, 47.8181865482], [5.4794767768, 47.8194866191], [5.4770075389, 47.8204951224], [5.4743131877, 47.8216055721], [5.4720801276, 47.822520757], [5.469801568, 47.8234655613], [5.4644817562, 47.8256359533], [5.4614325021, 47.826892231], [5.4583835274, 47.8281556178], [5.4551744601, 47.8294628014], [5.4494767624, 47.831814119], [5.4475180837, 47.8326087118], [5.4420835155, 47.8348515586], [5.4391683489, 47.8360503711], [5.4371784969, 47.8368679302], [5.4341532601, 47.8380923957], [5.4311245007, 47.8393320823], [5.4288968762, 47.8402507505], [5.4258588875, 47.8414967481], [5.4230026121, 47.8426516332], [5.4196132229, 47.8440596662], [5.416510544, 47.8453041452], [5.4146170382, 47.8460796045], [5.4116610835, 47.8472920874], [5.4097582236, 47.8480723002], [5.4073163832, 47.8490606147], [5.40432871, 47.8503104564], [5.4011070024, 47.8516082135], [5.3986799317, 47.8526051267], [5.395549165, 47.8538702689], [5.3924945587, 47.8551391787], [5.3900979114, 47.8561054953], [5.3877708909, 47.8570469895], [5.3857652922, 47.8578775309], [5.3825423231, 47.8591891732], [5.3799761762, 47.8602325919], [5.376659994, 47.8615909516], [5.3739192229, 47.8627134764], [5.3714544684, 47.8637303002], [5.3692702246, 47.8656355423], [5.3670487813, 47.8676108225], [5.3650692546, 47.8693453339], [5.3637293925, 47.8705382661], [5.361560208, 47.8724638323], [5.3595160498, 47.874257959], [5.3573449928, 47.8761770936], [5.3550333994, 47.8782241919], [5.3537186222, 47.8793886244], [5.3515066091, 47.8813616119], [5.3497902643, 47.8828653887], [5.3476487582, 47.8847729356], [5.3453225935, 47.886807409], [5.3433648153, 47.8885491279], [5.3415824659, 47.8901144044], [5.3393933846, 47.8920497299], [5.3375797339, 47.893638149], [5.3353962858, 47.8955858443], [5.3330440172, 47.8976602155], [5.3310986854, 47.8993663719], [5.3291549016, 47.9010831582], [5.3268953777, 47.9030808517], [5.3248046035, 47.9049319874], [5.3227147979, 47.9067767557], [5.3208261419, 47.9084482356], [5.3185188732, 47.9104718903], [5.3166566087, 47.9121104002], [5.3146285196, 47.9139105911], [5.3125721235, 47.9157382803], [5.3106874797, 47.9173923694], [5.3086988648, 47.9191565199], [5.3067889482, 47.919958493], [5.3042309927, 47.9210440766], [5.3016642366, 47.9221154246], [5.2989221529, 47.9232828552], [5.2964119944, 47.9243358082], [5.2931475702, 47.9257005248], [5.2911482289, 47.9265517262], [5.2899119919, 47.9245986242], [5.2901686709, 47.9239527471]], ""type"": ""LineString""}";1;;;;;;;;;;;;;47.82855513836, 5.491070148827368
AERIEN;CROIXL62P.ME5;LIAISON 225kV N0 2 CROIX (LA) - PETIT-MENIN;MAINTENU PAR ET PROPRIETE RTE;EN EXPLOITATION;225kV;RTE;"{""coordinates"": [[3.1302285506, 50.7103537288], [3.1308969875, 50.7104498179]], ""type"": ""LineString""}";1;;;;;;;;;;;;;50.71040177335, 3.1305627690499995
AERIEN;COULAL71TAVEL;LIAISON 400kV N0 1 COULANGE - TAVEL;MAINTENU PAR ET PROPRIETE RTE;EN EXPLOITATION;400kV;RTE;"{""coordinates"": [[4.7217727214, 44.6325603872], [4.7230275977, 44.6323340671]], ""type"": ""LineString""}";1;;;;;;;;;;;;;44.632447227149996, 4.72240015955
AERIEN;TAMARL71TAVEL;LIAISON 400kV N0 1 TAMAREAU - TAVEL;MAINTENU PAR ET PROPRIETE RTE;EN EXPLOITATION;400kV;RTE;"{""coordinates"": [[3.7147509128, 43.6376896433], [3.7154708321, 43.6337275246], [3.7154847001, 43.6327483919]], ""type"": ""LineString""}";1;;;;;;;;;;;;;43.635225322845386, 3.7151826378455337
AERIEN;RIVIEL61TREVA;LIAISON 225kV N0 1 RIVIERE (LA) - TREVAS;MAINTENU PAR ET PROPRIETE RTE;EN EXPLOITATION;225kV;RTE;"{""coordinates"": [[4.3661988176, 45.3689568488], [4.3684286637, 45.3710037415]], ""type"": ""LineString""}";1;;;;;;;;;;;;;45.36998029515, 4.367313740649999
AERIEN;G.BANL62GIVOR;LIAISON 225kV N0 2 GIVORS-GIVORS-BANS;MAINTENU PAR ET PROPRIETE RTE;EN EXPLOITATION;225kV;RTE;"{""coordinates"": [[4.7868260406, 45.5722396225], [4.7859471081, 45.5731747097], [4.7840120919, 45.5750289347], [4.7830524446, 45.575485334], [4.7827340605, 45.5756750242], [4.7823305784, 45.575850758], [4.7821066357, 45.5756669608]], ""type"": ""LineString""}";1;;;;;;;;;;;;;45.57429718611538, 4.784590702044334
AERIEN;GUEBWL61LOGEL;LIAISON 225kV N0 1 GUEBWILLER - LOGELBACH;MAINTENU PAR ET PROPRIETE RTE;EN EXPLOITATION;225kV;RTE;"{""coordinates"": [[7.3053572676, 48.0829755658], [7.3038167358, 48.0784591454], [7.3007557796, 48.0758791666]], ""type"": ""LineString""}";2;LOGELL61ZL.NO;LIAISON 225kV N0 1 ANOULD - LAC-NOIR - LOGELBACH;MAINTENU PAR ET PROPRIETE RTE;;;;;;;;;;48.07909866859527, 7.303537403358915
AERIEN;BARNAL72ROUGE;LIAISON 400kV N0 2 BARNABOS - ROUGEMONTIER;MAINTENU PAR ET PROPRIETE RTE;EN EXPLOITATION;400kV;RTE;"{""coordinates"": [[0.732635151, 49.3534300502], [0.7319223916, 49.3487279687], [0.7345120864, 49.3455806143], [0.7350034836, 49.3442624502]], ""type"": ""LineString""}";1;;;;;;;;;;;;;49.348670559343155, 0.7329929898432556
AERIEN;ROUGEL61YAINV;LIAISON 225kV N0 1 ROUGEMONTIER-YAINVILLE;MAINTENU PAR ET PROPRIETE RTE;EN EXPLOITATION;225kV;RTE;"{""coordinates"": [[0.8599866541, 49.3759745414], [0.8654050382, 49.3753554603], [0.8688674857, 49.3754804043], [0.8655084204, 49.3757520554]], ""type"": ""LineString""}";1;;;;;;;;;;;;;49.37558196472927, 0.8651797605157064
AERIEN;TOURBL61ZEMAL;LIAISON 225kV N0 1 EMALES(LES) - RANVILLE - TOURBE;MAINTENU PAR ET PROPRIETE RTE;EN EXPLOITATION;225kV;RTE;"{""coordinates"": [[-0.2632999919, 49.1090681842], [-0.2606480733, 49.1081996629], [-0.2562189462, 49.1074072695]], ""type"": ""LineString""}";1;;;;;;;;;;;;;49.108121356078094, -0.2597887826934956
