Error ID,Category,Total Response Time (s),Variable ID,Variable Response Time (s)
W1E1,low,3.81,W1E1V1,0.91
W1E2,intermediate,,,
W1E3,critical,,,
W2E1,low,6.43,W2E1V1,1.24
W2E2,intermediate,,,
W2E3,critical,,,
W3E1,low,,,
W3E2,intermediate,,,
W3E3,critical,,,
W4E1,low,,,
W4E2,intermediate,,,
W4E3,critical,,,
W5E1,low,,,
W5E2,intermediate,,,
W5E3,critical,,,
W6E1,low,,,
W6E2,intermediate,,,
W6E3,critical,,,
W7E1,low,,,
W7E2,intermediate,,,
W7E3,critical,,,
W8E1,low,,,
W8E2,intermediate,,,
W8E3,critical,,,
W9E1,low,,,
W9E2,intermediate,,,
W9E3,critical,,,
W10E1,low,,,
W10E2,intermediate,,,
W10E3,critical,,,
