WaveNumber,ErrorNumber,LineId,ErrorCategory
1,1,5,critical
1,2,12,intermediate
1,3,20,low
2,1,7,low
2,2,15,critical
2,3,25,intermediate
3,1,9,intermediate
3,2,18,low
3,3,30,critical
4,1,11,low
4,2,22,intermediate
4,3,35,critical
5,1,13,critical
5,2,24,low
5,3,40,intermediate
6,1,17,intermediate
6,2,28,critical
6,3,45,low
7,1,19,low
7,2,32,intermediate
7,3,50,critical
8,1,21,critical
8,2,36,low
8,3,55,intermediate
9,1,23,intermediate
9,2,38,critical
9,3,60,low
10,1,27,low
10,2,42,intermediate
10,3,65,critical
